0,1,2,3,4,5,6,7,8,9
19,8,19,8,16,32,,,,
31,12,25,29,5,11,12,14,19,8
14,3,14,6,17,19,29,4,27,5
2,23,36,1,2,3,,,,
30,33,,,,,,,,
12,,,,,,,,,
29,,,,,,,,,
21,17,36,32,36,15,13,7,3,
21,13,16,35,36,32,33,,,
28,3,4,2,,,,,,
10,,,,,,,,,
33,,,,,,,,,
28,17,2,29,28,36,29,,,
26,10,17,20,31,11,10,,,
16,1,30,31,,,,,,
24,30,26,24,7,35,18,,,
25,18,17,,,,,,,
19,13,15,34,33,32,4,21,,
16,,,,,,,,,
14,16,18,32,11,,,,,
17,21,36,21,11,12,15,,,
16,36,33,,,,,,,
35,18,31,,,,,,,
24,33,34,29,28,15,14,,,
30,29,,,,,,,,
16,25,13,,,,,,,
22,23,,,,,,,,
10,29,28,29,12,14,11,12,21,15
21,18,9,17,16,3,20,9,,
16,17,20,18,8,9,12,,,
10,36,33,,,,,,,
17,2,5,35,28,1,3,1,4,
36,5,2,6,3,6,15,6,,
12,15,26,27,,,,,,
35,32,19,18,16,13,22,30,1,
8,11,6,31,12,7,32,,,
29,7,8,13,12,14,,,,
31,21,19,33,32,36,32,35,22,15
14,28,30,15,31,8,9,31,18,4
12,16,13,24,6,14,10,,,
23,4,17,8,21,24,12,,,
16,5,17,18,34,8,1,36,33,35
6,14,12,28,30,1,10,21,,
35,7,15,32,36,17,26,21,25,
32,35,31,29,17,16,11,36,,
14,11,6,33,35,36,33,32,34,15
19,18,13,16,13,16,31,11,19,13
25,34,33,21,,,,,,
18,21,13,1,9,8,25,,,
33,22,21,36,1,,,,,
13,8,21,18,,,,,,
23,31,32,19,17,11,13,28,29,
27,12,14,,,,,,,
21,,,,,,,,,
2,17,20,28,29,28,9,34,,
3,19,34,25,9,2,,,,
13,23,8,32,,,,,,
13,15,8,17,2,5,35,13,,
11,3,7,16,12,23,19,,,
36,1,12,4,,,,,,
30,28,34,33,2,33,36,4,35,
6,14,16,34,35,34,27,,,
17,28,25,,,,,,,
33,11,34,8,31,33,30,28,29,
19,20,36,35,36,,,,,
32,19,5,19,9,1,29,9,,
27,24,16,33,2,9,24,23,17,
21,16,7,6,,,,,,
25,35,29,27,36,22,1,24,,
4,13,21,23,25,26,17,,,
8,14,,,,,,,,
4,23,35,26,,,,,,
22,,,,,,,,,
11,30,10,19,20,19,10,,,
18,9,31,33,4,28,21,30,7,
36,34,32,22,26,21,,,,
29,28,34,2,3,1,,,,
20,,,,,,,,,
36,22,7,12,31,,,,,
27,28,12,,,,,,,
31,5,3,28,,,,,,
24,31,13,23,32,24,2,22,15,
15,20,17,8,31,3,5,4,26,
6,29,7,30,17,12,,,,
6,31,29,28,21,1,,,,
6,31,2,13,31,22,23,,,
33,15,11,,,,,,,
2,25,26,34,13,8,22,27,,
33,,,,,,,,,
22,13,32,33,9,35,,,,
7,31,19,12,8,4,32,35,33,34
16,13,17,8,18,31,25,21,13,
2,4,24,33,34,35,33,10,,
3,12,9,14,6,7,21,26,,
7,21,19,,,,,,,
20,,,,,,,,,
6,13,14,28,3,31,13,8,,
26,25,1,4,,,,,,
9,8,17,29,8,11,9,,,
34,,,,,,,,,
13,20,32,33,16,15,4,,,
18,20,10,,,,,,,
19,18,19,33,29,18,11,,,
11,24,29,,,,,,,
12,7,15,8,,,,,,
15,23,6,7,10,16,4,2,,
9,32,36,5,10,,,,,
9,8,17,9,8,13,6,15,,
15,11,30,36,35,17,24,,,
17,2,9,,,,,,,
32,23,,,,,,,,
20,26,20,12,13,6,,,,
10,,,,,,,,,
18,29,25,23,3,2,,,,
14,,,,,,,,,
6,12,16,,,,,,,
9,17,12,17,13,,,,,
27,6,27,26,23,25,26,31,17,
12,9,27,28,,,,,,
13,8,19,,,,,,,
2,,,,,,,,,
23,28,,,,,,,,
35,9,19,10,,,,,,
31,8,15,7,5,25,29,24,28,18
9,20,18,2,22,27,28,5,6,36
18,,,,,,,,,
6,16,18,10,21,31,13,10,7,21
18,26,25,35,32,,,,,
15,13,7,33,32,,,,,
1,,,,,,,,,
10,18,35,34,35,34,,,,
14,32,4,24,23,24,30,28,35,2
1,30,,,,,,,,
27,24,9,6,11,15,,,,
9,19,,,,,,,,
10,20,7,14,13,4,1,,,
32,34,6,,,,,,,
35,10,24,12,9,,,,,
3,36,33,16,29,10,,,,
33,,,,,,,,,
21,,,,,,,,,
15,2,,,,,,,,
12,8,31,30,26,,,,,
30,22,7,15,35,17,10,9,20,
21,28,12,,,,,,,
29,9,26,18,31,16,,,,
15,11,15,11,16,23,4,,,
18,15,14,16,,,,,,
13,2,4,2,12,,,,,
7,32,14,8,21,8,,,,
23,31,6,7,10,,,,,
32,15,13,28,25,36,17,21,,
18,26,20,35,32,20,,,,
23,15,20,1,13,18,20,,,
35,23,27,22,25,,,,,
19,12,14,,,,,,,
14,15,16,15,18,,,,,
19,23,19,18,10,14,36,11,20,8
36,10,12,8,14,,,,,
26,2,9,17,8,,,,,
5,8,7,6,12,,,,,
12,7,5,27,,,,,,
25,23,1,21,29,16,13,,,
8,15,7,11,6,22,23,28,,
7,21,2,20,,,,,,
34,3,5,20,,,,,,
9,3,18,10,,,,,,
30,1,20,36,17,21,7,,,
10,8,10,12,21,36,8,18,,
28,24,29,7,34,5,3,32,,
17,,,,,,,,,
35,1,30,11,6,,,,,
13,15,18,27,,,,,,
12,23,5,24,28,26,1,,,
5,3,28,8,32,35,29,8,9,10
17,5,2,,,,,,,
29,6,8,16,,,,,,
21,5,2,5,26,3,15,,,
25,28,23,25,2,5,,,,
33,36,3,13,14,11,15,,,
4,5,32,36,32,15,8,,,
23,24,28,31,3,,,,,
25,12,35,29,25,32,,,,
25,11,15,19,10,,,,,
36,11,29,13,1,31,13,11,,
9,3,,,,,,,,
35,3,,,,,,,,
10,,,,,,,,,
3,13,36,32,35,,,,,
20,,,,,,,,,
29,,,,,,,,,
34,,,,,,,,,
27,23,,,,,,,,
14,16,7,6,14,13,29,27,,
30,7,12,30,6,,,,,
14,34,27,23,24,25,5,4,22,5
26,21,8,35,6,33,36,7,24,5
6,14,13,32,34,11,8,16,,
7,11,22,,,,,,,
35,18,10,9,,,,,,
26,,,,,,,,,
8,31,16,15,14,30,,,,
33,35,9,12,,,,,,
30,25,24,21,10,,,,,
11,,,,,,,,,
3,14,15,,,,,,,
13,11,10,18,10,18,3,35,17,
15,36,7,,,,,,,
16,7,8,,,,,,,
7,33,5,4,2,5,33,35,34,
25,24,8,31,12,10,9,12,,
27,18,10,2,30,28,24,,,
5,1,,,,,,,,
36,34,32,29,24,25,,,,
14,,,,,,,,,
34,36,33,,,,,,,
13,3,4,5,19,,,,,
14,21,7,,,,,,,
32,,,,,,,,,
6,20,4,13,14,1,24,9,2,
13,32,,,,,,,,
7,8,10,,,,,,,
33,22,13,11,13,,,,,
9,1,24,29,35,,,,,
13,8,23,26,34,,,,,
36,19,30,22,18,7,16,8,25,32
34,36,14,11,17,24,27,26,,
28,11,13,,,,,,,
26,12,35,,,,,,,
17,23,35,14,1,5,,,,
31,22,21,8,23,26,24,10,,
2,,,,,,,,,
23,10,,,,,,,,
23,26,12,34,35,14,21,,,
14,9,27,13,4,5,,,,
3,27,16,14,13,15,5,,,
13,17,10,2,5,2,19,10,19,20
29,28,14,15,26,6,12,8,,
14,1,5,31,27,12,8,,,
34,36,22,25,28,7,,,,
14,13,17,4,2,17,36,,,
1,,,,,,,,,
10,8,19,7,13,,,,,
16,12,14,8,20,17,12,16,27,
30,3,36,30,28,29,20,13,8,
31,,,,,,,,,
6,25,8,7,5,2,19,36,35,34
18,35,34,28,12,10,2,10,,
19,22,23,1,10,18,34,26,25,7
26,7,20,18,31,,,,,
22,26,25,34,4,6,,,,
20,9,20,17,22,,,,,
6,8,,,,,,,,
8,30,25,16,12,16,17,20,,
32,35,22,27,25,27,3,9,20,17
24,29,5,3,2,25,23,26,4,24
6,7,11,12,1,30,33,25,23,25
15,1,9,20,18,35,32,22,,
9,25,27,4,5,4,3,,,
27,22,2,23,1,25,24,,,
16,,,,,,,,,
2,13,22,23,16,33,34,1,30,
32,34,35,31,18,8,30,,,
19,10,17,,,,,,,
10,,,,,,,,,
34,29,21,18,35,36,21,7,34,2
24,28,29,15,13,3,29,,,
10,15,32,,,,,,,
8,6,,,,,,,,
33,34,33,17,21,,,,,
21,2,8,19,20,,,,,
21,2,1,14,5,1,5,,,
5,1,3,1,15,18,20,,,
24,17,21,27,2,1,2,3,,
13,,,,,,,,,
13,4,34,22,9,24,31,30,21,12
19,9,20,16,3,,,,,
34,36,35,36,6,8,10,17,,
28,13,32,31,,,,,,
25,27,24,27,25,22,25,33,6,33
26,22,26,,,,,,,
3,28,30,3,1,2,11,,,
10,,,,,,,,,
29,17,12,5,7,13,27,,,
5,22,6,31,,,,,,
19,25,27,3,28,,,,,
10,34,22,,,,,,,
34,3,1,34,32,27,,,,
13,15,20,4,20,17,25,22,,
32,11,18,10,,,,,,
23,8,17,9,12,8,12,15,14,16
10,6,27,14,11,31,21,4,,
10,,,,,,,,,
28,23,22,14,12,31,14,2,,
17,21,28,,,,,,,
14,31,24,8,14,20,17,,,
8,19,,,,,,,,
11,24,25,22,,,,,,
9,20,36,33,18,,,,,
29,18,31,18,6,10,12,,,
35,6,,,,,,,,
28,21,18,21,25,,,,,
12,,,,,,,,,
3,29,8,6,13,11,29,17,,
20,2,10,18,35,33,30,14,15,12
31,4,26,25,26,17,,,,
6,11,9,17,36,33,,,,
24,18,10,1,,,,,,
7,8,7,17,9,34,36,1,23,27
7,23,24,29,14,7,,,,
32,33,35,36,1,8,9,16,13,
16,,,,,,,,,
34,10,12,10,18,3,9,13,33,2
3,27,25,12,14,15,36,33,,
2,16,17,12,10,7,6,18,,
6,22,26,27,1,33,11,16,,
30,24,25,29,8,31,12,,,
17,34,17,28,,,,,,
17,15,13,22,,,,,,
36,19,9,10,14,7,21,,,
25,24,,,,,,,,
11,18,15,11,9,32,11,,,
16,13,11,35,32,34,36,,,
8,9,27,9,12,3,33,18,26,25
34,10,,,,,,,,
11,8,31,18,21,10,7,24,,
32,6,35,32,36,,,,,
16,28,5,21,7,28,17,,,
1,15,7,6,13,,,,,
15,18,19,28,32,17,36,34,33,
10,23,27,16,,,,,,
10,2,26,20,14,8,5,30,25,34
10,18,21,29,6,14,16,12,21,28
12,11,,,,,,,,
5,,,,,,,,,
7,11,16,3,28,24,26,9,2,
18,19,,,,,,,,
7,6,3,26,36,34,36,,,
18,,,,,,,,,
30,3,27,25,24,28,,,,
17,31,32,15,12,6,8,31,,
27,4,3,6,18,17,7,8,16,
3,32,36,34,4,30,29,27,,
5,6,15,2,9,19,14,,,
10,24,14,,,,,,,
29,26,5,26,7,34,10,26,,
4,2,1,3,21,10,,,,
23,24,4,7,30,32,20,9,3,28
22,8,17,12,21,12,15,6,,
17,1,2,,,,,,,
27,23,,,,,,,,
25,3,15,28,27,23,,,,
2,,,,,,,,,
19,14,,,,,,,,
16,19,,,,,,,,
14,,,,,,,,,
6,12,30,6,7,21,9,,,
10,19,8,11,,,,,,
16,8,21,32,34,14,11,13,,
34,27,3,1,5,4,,,,
14,6,2,9,20,9,35,28,4,
29,25,9,22,18,23,,,,
21,4,15,12,9,13,,,,
1,3,1,15,14,8,9,10,1,28
17,27,5,2,,,,,,
27,16,15,8,14,30,,,,
34,33,35,6,28,29,19,17,2,29
36,9,19,15,26,19,17,,,
9,,,,,,,,,
22,29,24,14,26,32,19,30,18,
35,21,8,9,13,19,10,30,16,15
25,24,28,13,16,,,,,
13,30,1,3,,,,,,
20,26,30,10,20,8,7,25,32,33
7,17,16,10,,,,,,
29,27,24,,,,,,,
18,2,32,36,32,,,,,
16,11,6,18,33,36,23,20,28,13
17,9,,,,,,,,
20,28,3,,,,,,,
6,12,1,5,3,,,,,
24,3,31,19,2,28,,,,
10,17,12,,,,,,,
29,25,29,24,11,16,14,11,30,
2,17,21,1,16,14,,,,
25,,,,,,,,,
29,31,1,33,14,12,,,,
4,30,1,24,,,,,,
19,35,,,,,,,,
33,,,,,,,,,
28,29,22,25,23,,,,,
30,23,,,,,,,,
34,1,30,24,3,17,29,4,5,
13,31,18,9,10,2,5,,,
11,19,,,,,,,,
1,2,19,27,3,,,,,
18,24,26,24,4,15,,,,
7,13,33,8,7,27,9,12,7,
25,22,14,18,3,1,24,22,,
17,8,,,,,,,,
13,36,35,13,7,21,,,,
32,36,27,3,1,25,,,,
31,19,17,15,,,,,,
17,22,,,,,,,,
33,20,12,32,21,33,34,33,,
26,,,,,,,,,
9,8,9,18,3,8,6,30,22,36
32,21,30,18,20,19,5,,,
18,2,19,10,18,17,11,,,
12,25,4,30,3,27,,,,
1,,,,,,,,,
14,13,24,29,9,6,35,36,7,9
22,9,17,21,29,24,27,26,,
17,2,26,6,14,4,3,5,,
7,21,12,8,,,,,,
2,1,3,1,,,,,,
28,27,24,,,,,,,
20,15,1,20,3,32,16,,,
21,34,2,,,,,,,
13,8,9,6,14,7,12,3,1,
22,3,35,,,,,,,
27,18,23,25,20,16,2,10,21,
9,3,8,16,11,10,9,20,23,9
8,19,23,27,2,9,29,,,
16,11,21,,,,,,,
23,27,35,2,13,30,13,6,5,19
31,18,5,2,10,2,,,,
29,2,14,5,22,35,27,26,,
12,10,12,16,,,,,,
23,29,4,22,23,36,5,4,34,5
28,3,9,8,9,,,,,
28,,,,,,,,,
27,5,17,2,,,,,,
24,,,,,,,,,
7,13,21,,,,,,,
6,12,,,,,,,,
36,,,,,,,,,
29,24,19,,,,,,,
9,23,26,9,5,24,,,,
7,22,32,25,8,9,,,,
1,2,,,,,,,,
34,3,5,19,10,,,,,
25,2,18,32,19,,,,,
31,11,30,12,,,,,,
16,11,25,34,35,,,,,
26,23,22,11,14,21,19,2,10,
7,19,18,36,3,28,,,,
27,25,,,,,,,,
4,,,,,,,,,
19,22,23,11,21,7,36,,,
11,12,7,,,,,,,
20,19,27,23,25,,,,,
18,30,34,8,,,,,,
34,18,31,1,29,6,8,12,35,29
8,24,10,,,,,,,
36,4,9,26,31,32,,,,
22,14,31,30,32,34,33,35,33,
1,23,27,22,31,30,,,,
10,3,27,25,8,18,12,19,,
1,,,,,,,,,
6,11,,,,,,,,
22,27,28,24,,,,,,
22,10,19,11,12,10,7,21,,
29,28,21,12,6,8,5,,,
13,21,25,22,,,,,,
16,26,15,,,,,,,
24,9,,,,,,,,
30,29,24,23,25,,,,,
17,20,6,,,,,,,
35,,,,,,,,,
11,6,,,,,,,,
29,32,22,27,29,,,,,
26,22,21,6,23,25,27,28,23,
1,7,5,15,12,6,16,,,
7,16,8,31,18,6,13,7,,
1,2,4,28,24,29,14,,,
7,11,13,6,15,34,10,17,35,32
22,26,12,3,1,2,,,,
14,13,6,31,,,,,,
20,36,9,25,9,,,,,
35,4,1,25,5,4,36,35,30,
8,20,31,,,,,,,
33,35,21,25,10,1,29,18,17,19
20,2,22,26,14,11,2,11,,
6,18,4,34,32,,,,,
7,11,14,29,28,29,27,5,3,23
35,33,4,7,9,20,4,,,
19,31,11,,,,,,,
4,1,4,16,12,11,15,33,11,
16,12,36,,,,,,,
8,,,,,,,,,
11,7,28,29,,,,,,
29,27,12,8,10,33,25,26,20,15
11,35,2,3,1,31,12,21,36,35
11,7,34,32,13,14,12,7,6,
30,8,18,9,35,14,21,29,4,23
17,14,,,,,,,,
11,24,9,1,9,27,28,3,5,7
29,,,,,,,,,
2,,,,,,,,,
36,18,31,,,,,,,
25,23,16,30,2,4,,,,
2,7,13,16,1,,,,,
8,16,7,,,,,,,
7,23,27,23,26,25,32,,,
20,17,8,,,,,,,
6,31,24,26,27,3,24,29,15,
25,8,9,31,21,19,10,18,,
14,12,30,17,20,2,9,14,19,
17,4,15,16,,,,,,
25,10,21,11,12,28,29,,,
15,32,35,32,33,32,29,7,,
30,6,17,12,7,23,,,,
33,32,21,7,12,10,12,9,12,
36,13,11,19,22,9,12,,,
24,,,,,,,,,
12,26,21,16,6,26,16,11,5,4
28,20,,,,,,,,
1,35,2,12,31,6,24,29,25,
27,14,13,8,13,14,11,14,,
15,1,31,21,10,,,,,
19,14,28,29,26,35,27,26,7,15
23,24,,,,,,,,
33,35,5,2,1,8,22,24,35,
21,7,19,18,,,,,,
31,,,,,,,,,
30,31,1,17,18,21,,,,
17,10,19,13,7,36,,,,
23,27,17,,,,,,,
18,13,8,18,23,,,,,
11,,,,,,,,,
12,7,11,,,,,,,
15,,,,,,,,,
30,36,2,10,19,7,15,16,,
21,7,11,16,18,8,11,30,22,24
2,19,8,,,,,,,
24,29,24,,,,,,,
31,12,9,,,,,,,
19,20,9,25,23,13,15,8,5,20
16,3,29,4,2,17,,,,
2,32,28,6,,,,,,
7,11,14,13,16,,,,,
30,17,20,19,27,6,12,2,23,
34,12,25,24,16,21,1,4,,
12,7,9,30,32,30,16,34,11,
13,6,2,12,17,4,28,18,,
25,31,11,17,,,,,,
22,,,,,,,,,
36,7,2,9,7,13,,,,
9,12,10,,,,,,,
3,28,1,2,31,,,,,
32,34,16,32,2,,,,,
27,15,6,11,16,26,6,15,,
30,12,11,31,30,,,,,
29,5,34,18,21,28,33,,,
24,22,35,7,8,15,14,,,
1,10,7,,,,,,,
13,21,28,14,12,14,26,,,
14,32,,,,,,,,
5,32,13,11,36,32,36,35,30,28
32,22,25,14,22,,,,,
9,28,3,34,,,,,,
6,7,6,34,13,36,,,,
34,25,34,21,27,12,,,,
36,35,,,,,,,,
26,,,,,,,,,
18,17,32,,,,,,,
14,8,31,6,12,,,,,
6,7,8,10,21,,,,,
28,24,,,,,,,,
2,27,28,29,,,,,,
35,,,,,,,,,
31,5,28,21,8,,,,,
22,17,11,19,,,,,,
1,28,29,3,5,,,,,
13,,,,,,,,,
19,17,28,18,8,,,,,
27,10,21,8,31,28,21,18,2,
29,25,20,,,,,,,
33,34,35,16,24,20,18,11,6,
19,,,,,,,,,
5,20,35,32,35,9,12,28,5,
3,5,1,2,4,32,,,,
6,31,21,2,,,,,,
23,7,,,,,,,,
25,26,24,4,,,,,,
27,25,11,10,12,9,12,4,18,29
25,24,20,,,,,,,
15,14,11,14,32,33,34,33,32,
19,8,10,19,15,16,19,36,,
32,35,9,20,35,,,,,
26,22,26,3,1,32,33,9,8,1
36,34,33,8,13,22,2,14,11,1
1,4,5,,,,,,,
28,16,12,11,14,16,13,36,33,
19,20,27,30,,,,,,
32,2,18,31,,,,,,
10,2,3,18,19,,,,,
26,,,,,,,,,
28,21,7,27,,,,,,
26,25,,,,,,,,
20,33,32,35,28,19,17,,,
31,2,3,10,12,14,12,,,
36,32,9,6,12,35,34,29,,
24,18,34,36,35,33,35,2,10,17
20,28,29,24,28,22,18,2,15,
27,28,5,4,,,,,,
11,18,17,35,,,,,,
23,19,2,31,27,21,30,1,35,32
3,24,29,33,36,30,1,30,,
28,18,10,33,11,,,,,
29,25,5,,,,,,,
29,24,,,,,,,,
20,17,36,,,,,,,
5,27,23,34,,,,,,
15,7,,,,,,,,
22,,,,,,,,,
15,8,17,12,10,19,23,26,22,
25,12,,,,,,,,
2,4,2,19,32,26,20,18,,
22,23,10,,,,,,,
10,18,3,2,5,28,24,26,,
12,,,,,,,,,
32,33,36,,,,,,,
5,3,,,,,,,,
7,21,12,30,36,33,7,6,36,34
12,7,30,7,22,29,25,26,34,21
3,22,1,2,4,2,9,17,12,7
15,,,,,,,,,
12,16,33,16,,,,,,
1,25,23,25,24,,,,,
34,25,29,14,15,13,7,,,
28,3,15,8,15,13,16,14,13,
28,35,4,1,,,,,,
12,5,8,12,9,33,,,,
19,18,,,,,,,,
26,24,29,18,17,,,,,
29,,,,,,,,,
20,6,24,28,19,33,31,,,
35,25,8,34,4,5,25,,,
3,28,10,,,,,,,
11,1,12,8,17,9,10,8,18,
31,30,,,,,,,,
11,,,,,,,,,
7,11,15,12,31,32,30,28,30,
8,26,15,2,17,35,1,5,27,25
31,5,3,22,25,19,9,10,19,7
19,,,,,,,,,
20,19,8,19,17,8,14,2,,
20,36,9,10,19,13,,,,
26,11,15,30,,,,,,
3,4,33,6,24,22,3,32,10,12
18,25,,,,,,,,
22,15,12,24,26,24,,,,
30,31,6,8,,,,,,
5,23,29,24,19,17,12,,,
4,5,16,15,12,15,21,33,15,14
19,18,23,22,25,23,7,,,
15,36,,,,,,,,
30,1,4,36,35,,,,,
20,3,9,22,23,28,29,32,16,
36,,,,,,,,,
14,6,16,3,12,,,,,
25,30,12,21,18,23,5,,,
5,13,,,,,,,,
28,,,,,,,,,
3,4,21,29,24,,,,,
3,2,5,25,27,,,,,
6,36,11,14,8,9,18,32,9,12
24,27,31,30,9,34,26,36,26,34
1,,,,,,,,,
19,1,20,13,8,13,,,,
20,,,,,,,,,
4,12,8,,,,,,,
1,25,31,6,17,4,12,,,
3,35,33,31,3,25,32,23,33,34
3,2,23,28,34,17,18,21,7,
10,34,33,20,21,18,19,8,6,
11,17,2,13,31,,,,,
31,32,,,,,,,,
6,31,,,,,,,,
9,23,,,,,,,,
2,1,5,15,28,27,30,,,
36,34,19,22,11,,,,,
9,19,20,,,,,,,
7,19,,,,,,,,
5,14,11,36,2,5,,,,
5,4,2,,,,,,,
8,34,,,,,,,,
13,11,8,16,14,4,5,,,
7,16,30,36,31,6,14,10,16,
32,34,15,13,30,20,23,27,1,23
28,35,34,35,33,36,11,14,18,
6,31,,,,,,,,
8,7,17,19,8,1,2,17,10,
31,11,16,15,,,,,,
29,7,30,36,,,,,,
33,22,4,,,,,,,
11,6,12,14,16,,,,,
35,4,16,20,17,20,,,,
7,6,21,28,4,2,9,,,
9,21,7,31,12,32,,,,
24,,,,,,,,,
28,29,28,24,29,32,3,,,
33,14,8,28,21,12,15,,,
9,10,33,20,25,29,21,36,27,
6,,,,,,,,,
33,16,4,33,36,35,7,11,,
3,32,6,31,,,,,,
36,12,17,1,30,22,8,28,30,4
16,15,1,12,16,26,,,,
7,9,33,10,21,18,8,16,,
25,26,5,,,,,,,
24,32,5,16,15,29,,,,
34,33,34,,,,,,,
21,15,36,32,19,,,,,
36,20,6,7,22,13,28,24,,
35,5,4,28,11,14,4,6,8,
26,24,14,35,3,,,,,
20,8,15,36,11,35,,,,
16,,,,,,,,,
6,11,8,,,,,,,
10,19,22,23,3,1,,,,
26,30,28,4,,,,,,
24,3,1,32,22,28,2,4,1,18
19,27,1,25,28,30,23,,,
23,26,,,,,,,,
33,34,12,17,,,,,,
24,25,24,20,7,,,,,
2,5,25,5,31,8,16,,,
1,6,14,27,24,,,,,
1,19,30,1,11,16,,,,
10,21,23,26,13,33,32,,,
17,18,23,7,15,13,33,28,10,
14,15,30,31,6,,,,,
9,3,26,5,31,6,,,,
12,11,31,30,31,,,,,
8,10,1,24,10,,,,,
32,34,13,15,11,31,30,24,4,
31,16,14,,,,,,,
9,17,26,27,,,,,,
18,36,32,34,36,26,,,,
17,,,,,,,,,
9,25,14,21,8,9,8,22,25,7
3,26,13,,,,,,,
12,6,21,19,6,27,24,26,,
23,7,33,1,,,,,,
21,10,9,31,30,,,,,
13,,,,,,,,,
7,28,29,27,28,20,5,19,36,33
33,9,8,9,16,11,,,,
32,35,16,8,11,36,21,19,,
10,16,15,20,16,33,21,18,,
17,8,27,,,,,,,
21,17,,,,,,,,
13,16,20,31,3,7,35,27,,
8,21,28,17,18,,,,,
16,,,,,,,,,
23,25,36,31,11,6,31,,,
26,5,20,21,10,34,36,,,
7,12,33,34,33,,,,,
18,,,,,,,,,
25,22,12,27,29,25,16,15,14,
36,27,11,,,,,,,
23,19,,,,,,,,
3,,,,,,,,,
22,26,13,19,18,36,6,,,
15,12,8,31,,,,,,
26,1,20,7,,,,,,
3,13,15,3,12,15,35,,,
27,18,8,18,10,17,,,,
35,33,13,2,1,,,,,
18,11,16,8,9,10,16,15,8,19
11,,,,,,,,,
17,,,,,,,,,
3,24,16,8,36,34,8,24,6,11
18,6,35,8,12,7,,,,
6,18,17,28,24,25,27,16,36,18
22,34,22,25,27,24,28,21,18,
27,,,,,,,,,
1,32,4,2,,,,,,
18,10,24,17,12,,,,,
15,19,15,13,4,,,,,
12,33,18,2,1,,,,,
17,25,24,22,9,34,10,,,
24,18,10,9,18,1,30,1,31,
34,35,32,21,10,18,3,,,
8,30,9,29,,,,,,
11,30,35,34,17,21,28,25,,
32,25,20,3,22,28,9,8,29,
13,15,7,,,,,,,
5,3,9,12,7,8,,,,
27,22,19,2,8,10,21,,,
19,27,22,,,,,,,
3,,,,,,,,,
17,,,,,,,,,
1,10,2,18,3,5,34,27,,
2,19,11,7,31,,,,,
11,31,1,35,15,14,8,36,,
22,27,14,13,31,,,,,
12,10,20,18,8,18,33,32,35,
26,2,5,9,15,6,,,,
15,8,11,16,6,12,,,,
36,,,,,,,,,
13,16,18,21,31,12,31,26,,
3,5,25,,,,,,,
35,29,34,33,11,2,25,2,16,11
13,11,36,35,25,20,,,,
30,31,10,8,12,16,,,,
35,7,27,26,,,,,,
29,24,27,22,,,,,,
22,5,9,,,,,,,
23,1,11,31,35,3,,,,
24,28,12,28,17,4,,,,
8,26,21,14,12,16,8,16,,
2,13,31,10,,,,,,
27,31,21,17,8,7,8,7,8,
24,1,4,32,5,3,1,19,33,
12,9,,,,,,,,
31,29,,,,,,,,
15,23,24,25,24,,,,,
25,,,,,,,,,
1,4,13,16,30,26,,,,
13,30,12,10,1,9,25,,,
32,34,25,26,22,25,33,32,36,14
27,7,16,8,14,7,6,,,
26,24,,,,,,,,
11,15,11,13,,,,,,
10,8,15,12,15,32,36,35,36,
28,10,6,24,28,,,,,
25,32,34,28,20,31,11,,,
29,21,35,17,10,19,,,,
14,30,6,10,18,31,8,,,
17,9,17,,,,,,,
5,3,1,,,,,,,
11,15,11,7,17,8,22,12,10,
1,4,5,7,20,9,35,19,22,33
20,17,19,10,33,9,4,,,
12,1,30,,,,,,,
7,24,29,31,12,35,33,34,10,
10,11,5,15,17,9,7,17,21,34
17,25,23,21,,,,,,
12,16,30,33,19,34,36,23,,
26,22,23,5,3,29,,,,
17,18,35,22,21,26,,,,
34,16,4,2,36,34,35,19,8,
27,,,,,,,,,
21,28,27,28,21,23,22,29,1,
35,36,33,26,14,36,,,,
28,24,,,,,,,,
32,17,34,27,,,,,,
30,16,24,21,,,,,,
8,15,8,,,,,,,
17,18,33,5,15,12,3,,,
21,7,12,26,2,35,,,,
17,32,9,,,,,,,
17,1,22,13,26,24,1,,,
19,,,,,,,,,
25,,,,,,,,,
33,25,26,27,25,22,,,,
2,10,,,,,,,,
32,35,10,14,4,,,,,
33,32,30,,,,,,,
33,19,23,22,23,4,6,,,
13,,,,,,,,,
28,6,7,,,,,,,
18,21,18,19,20,,,,,
27,18,35,18,30,21,22,33,,
3,31,21,18,2,,,,,
2,31,,,,,,,,
27,25,13,,,,,,,
36,,,,,,,,,
6,26,24,25,34,16,,,,
18,36,32,36,26,,,,,
2,6,29,28,5,2,,,,
2,1,3,9,20,25,29,10,,
32,13,6,34,36,32,1,,,
25,29,27,23,8,35,,,,
35,,,,,,,,,
23,25,22,10,8,1,21,6,7,
36,4,27,25,29,27,25,5,,
31,6,13,,,,,,,
34,36,34,22,26,5,7,36,27,23
29,3,26,,,,,,,
36,32,15,12,15,2,3,12,8,
31,32,4,,,,,,,
12,7,19,35,,,,,,
2,1,,,,,,,,
23,,,,,,,,,
14,32,20,33,23,,,,,
20,15,32,36,19,8,9,,,
28,22,16,25,,,,,,
5,12,34,,,,,,,
15,8,15,12,8,15,34,,,
7,8,21,14,7,,,,,
11,12,15,6,7,29,,,,
30,28,2,4,15,23,12,,,
9,29,25,4,,,,,,
32,2,26,,,,,,,
21,2,4,22,6,,,,,
29,27,3,18,19,,,,,
10,9,12,6,7,28,6,27,26,11
32,13,20,21,,,,,,
17,33,25,28,29,25,26,,,
